,Chromosome_0,Chromosome_1,Chromosome_2,Chromosome_3,Chromosome_4,Chromosome_5,Chromosome_6,Chromosome_7,Chromosome_8,Chromosome_9
0,953.7482921266295,844.3113040502377,964.726585910888,836.0599508078162,781.920611440086,855.1093351090203,964.726585910888,844.3113040502377,971.4143774436561,781.920611440086
1,836.0599508078162,855.1093351090203,964.726585910888,878.5976971863982,905.0743641582353,836.0599508078162,781.920611440086,844.3113040502377,839.9142976632696,855.1093351090203
2,855.1093351090203,855.1093351090203,781.920611440086,854.732452138763,878.5976971863982,848.4818716579902,839.9142976632696,878.5976971863982,872.1398046697685,858.0719141913299
3,832.4774828810695,878.5976971863982,854.732452138763,878.5976971863982,900.734449733033,872.1398046697685,781.920611440086,848.4818716579902,878.5976971863982,781.920611440086
4,872.1398046697685,781.920611440086,878.5976971863982,844.2962337024484,872.1398046697685,878.5976971863982,832.4774828810695,781.920611440086,856.393080515505,878.5976971863982
5,884.0014040650678,878.5976971863982,832.4774828810695,767.8046066579117,856.393080515505,887.5576088696565,878.5976971863982,887.5576088696565,884.0014040650678,767.8046066579117
6,878.5976971863982,884.0014040650678,856.393080515505,884.0014040650678,882.4665604261295,856.393080515505,878.5976971863982,884.0014040650678,878.5976971863982,856.393080515505
7,856.393080515505,878.5976971863982,856.393080515505,884.0014040650678,878.5976971863982,856.393080515505,878.5976971863982,884.0014040650678,856.393080515505,856.393080515505
8,856.393080515505,878.5976971863982,884.0014040650678,881.2515753992772,856.393080515505,884.0014040650678,878.5976971863982,878.5976971863982,856.393080515505,878.5976971863982
9,878.5976971863982,878.5976971863982,895.407382234525,878.5976971863982,856.393080515505,878.5976971863982,917.5799948864501,884.0014040650678,912.0945287680505,856.393080515505
10,856.393080515505,922.8048215937717,878.5976971863982,884.0014040650678,895.407382234525,878.5976971863982,878.5976971863982,878.5976971863982,878.5976971863982,856.393080515505
11,878.5976971863982,878.5976971863982,878.5976971863982,878.5976971863982,856.393080515505,878.5976971863982,878.5976971863982,849.614534104373,884.0014040650678,878.5976971863982
12,857.5841207810955,891.0635949908198,849.614534104373,851.5570611210719,878.5976971863982,878.5976971863982,849.614534104373,878.5976971863982,871.0985604609294,871.0985604609294
13,875.0530712220137,846.9257205465359,878.5976971863982,871.0985604609294,871.0985604609294,878.5976971863982,851.5570611210719,871.0985604609294,849.614534104373,875.0530712220137
14,846.9257205465359,871.0985604609294,851.5570611210719,885.9080182465877,878.5976971863982,849.4831286007774,878.5976971863982,846.9257205465359,841.1233631194144,846.9257205465359
