,Chromosome_0,Chromosome_1,Chromosome_2,Chromosome_3,Chromosome_4,Chromosome_5,Chromosome_6,Chromosome_7,Chromosome_8,Chromosome_9
0,895.8579619295007,868.227706635938,843.102709984207,895.8579619295007,811.6206718413877,811.6206718413877,786.9684133989962,775.9511510973203,886.6702013421645,838.3391380472325
1,786.9684133989962,934.5465761038578,811.6206718413877,811.6206718413877,886.6702013421645,786.9684133989962,786.9684133989962,934.8467454287552,824.5293936862141,868.227706635938
2,811.6206718413877,854.1105016418479,926.589345448534,786.3978928094227,868.227706635938,824.5293936862141,811.6206718413877,886.6702013421645,864.4072269068138,811.6206718413877
3,864.4072269068138,851.6948611625098,824.5293936862141,811.6206718413877,864.4072269068138,824.5293936862141,864.4072269068138,886.6702013421645,811.6206718413877,864.4072269068138
4,811.6206718413877,847.4783035345334,811.6206718413877,846.7271879671355,871.4604813395595,864.4072269068138,830.7263378186645,811.6206718413877,824.5293936862141,756.6379152043879
5,846.7271879671355,830.7263378186645,756.6379152043879,864.4072269068138,736.2741212844503,830.7263378186645,756.6379152043879,756.6379152043879,847.4013828695909,871.4604813395595
6,830.7263378186645,864.4072269068138,756.6379152043879,916.5604160826697,756.6379152043879,736.2741212844503,756.6379152043879,736.2741212844503,814.4483833860622,701.4057045155758
7,701.4057045155758,916.5604160826697,756.6379152043879,916.5604160826697,756.6379152043879,830.7263378186645,736.2741212844503,734.8277213487951,756.6379152043879,756.6379152043879
8,804.8760436585768,734.8277213487951,756.6379152043879,756.6379152043879,756.6379152043879,808.7142084079587,961.1353506407568,734.8277213487951,756.6379152043879,701.4057045155758
9,804.8760436585768,861.2804391888068,734.8277213487951,808.9254401447771,808.7142084079587,846.4943315934631,804.8760436585768,776.3344950380928,756.6379152043879,846.4943315934631
10,800.856499199933,804.8760436585768,804.8760436585768,808.7142084079587,804.8760436585768,846.4943315934631,800.856499199933,804.8760436585768,756.6379152043879,808.7142084079587
11,808.7142084079587,812.6860339165198,762.750526747191,804.8760436585768,812.2111689520891,800.856499199933,804.8760436585768,804.8760436585768,812.2111689520891,789.5851008769164
12,820.090174692478,762.750526747191,804.8760436585768,844.1636983849917,789.5851008769164,804.8760436585768,811.2590585074104,820.090174692478,804.8760436585768,815.9120831833493
13,808.7142084079587,808.7142084079587,793.0820614210468,793.0820614210468,811.2590585074104,812.6860339165198,844.1636983849917,789.5851008769164,792.1157833501945,804.8760436585768
14,812.6860339165198,844.1636983849917,793.0820614210468,797.4544984982211,793.0820614210468,804.8760436585768,808.7142084079587,811.2590585074104,793.0820614210468,792.1157833501945
15,793.0820614210468,793.0820614210468,804.8760436585768,793.0820614210468,793.0820614210468,811.2590585074104,793.0820614210468,793.0820614210468,808.1391415729038,812.6860339165198
16,793.0820614210468,807.8795273251101,815.9120831833493,793.0820614210468,793.0820614210468,812.6860339165198,793.0820614210468,793.0820614210468,848.5530805886765,808.1391415729038
17,804.7378441401372,793.0820614210468,808.1391415729038,793.0820614210468,793.0820614210468,793.0820614210468,789.0100340418612,793.0820614210468,793.0820614210468,793.0820614210468
18,808.1391415729038,793.0820614210468,793.0820614210468,793.0820614210468,793.0820614210468,793.0820614210468,793.0820614210468,793.0820614210468,808.1391415729038,793.0820614210468
19,812.2111689520891,793.0820614210468,793.0820614210468,760.1291490269853,793.0820614210468,793.0820614210468,793.0820614210468,793.0820614210468,760.1291490269853,793.0820614210468
20,760.1291490269853,812.2111689520891,793.0820614210468,793.0820614210468,760.1291490269853,790.7310202861163,793.0820614210468,790.7310202861163,793.0820614210468,793.0820614210468
21,790.7310202861163,793.0820614210468,793.0820614210468,790.7310202861163,790.7310202861163,793.0820614210468,793.0820614210468,793.0820614210468,760.1291490269853,790.7310202861163
22,790.7310202861163,793.0820614210468,790.7310202861163,793.0820614210468,793.0820614210468,793.0820614210468,790.7310202861163,793.0820614210468,793.0820614210468,760.1291490269853
